Stand,LyRu.J1,LyRu.J2,LyRu.J3,LyRu.J4,CaLa.J1,CaLa.J2,CaLa.J3,CaLa.J4,SpGr.J1,SpGr.J2,SpGr.J3,SpGr.J4,MeMe.J1,MeMe.J2,MeMe.J3,MeMe.J4,PrLo.J1,PrLo.J2,PrLo.J3,PrLo.J4
1225_14,0,0,4,0,11,5,6,0,0,0,0,0,126,9,0,0,51,38,0,20
1225_16,0,0,0,0,38,7,0,0,0,0,0,0,0,0,0,14,391,150,16,111
1225_4,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,255,48,9,5
1227_72,6,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,118,106,81,289
1230_10,0,9,6,0,3,33,0,0,7,0,12,45,0,0,6,3,42,335,99,142
1231_25,0,0,3,0,6,3,27,0,0,15,31,556,0,0,0,0,50,45,39,20
1231_73,0,0,0,0,51,0,60,0,0,194,258,523,0,0,0,0,30,5,0,10
1232_11,0,0,9,0,4,3,50,8,0,0,0,0,0,0,0,0,2,21,74,69
1235_11,0,0,0,0,5,3,15,27,0,0,0,0,12,6,0,3,560,56,355,256
1235_54,3,0,1,0,6,9,0,0,259,0,18,13,0,0,0,0,15,95,19,0
1237_24,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3
1240_15,0,0,0,0,0,0,0,1,0,0,122,204,0,0,0,0,376,63,6,94
1243_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0
1243_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,305,46
1245_1,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,305,218,11,198
1246_3,0,0,0,0,3,0,4,0,0,0,0,0,57,3,3,312,9,181,12,3
1248_15,0,0,0,0,0,0,0,60,0,0,0,0,0,12,0,7,164,253,84,6
1252_9,0,0,3,0,5,30,0,0,0,0,3,0,0,0,0,0,323,95,16,988
1253_1,0,0,3,8,0,0,3,513,0,0,0,0,0,0,209,269,0,0,32,722
1253_12,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,115,27,0,0
1253_14,0,0,0,0,0,5,21,32,0,0,0,0,0,9,0,0,12,112,0,0
1253_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0
1253_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,84,279,6
1253_9,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,151
1257_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,1
1257_2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,344,159,30,172
1257_25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,187,57,124,193
1258_18,0,6,3,8,0,0,33,2,0,0,0,0,0,0,0,0,0,3,0,12
1258_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,196
1260_15,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,149,184,28,8
1260_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,152
1260_24,0,0,0,2,0,10,13,1,0,0,0,0,14,0,0,0,0,151,141,24
1260_7,0,0,0,3,0,0,0,0,52,4,6,6,15,0,3,6,62,32,50,53
1260_8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6,38,8,0
1261_15,0,0,9,0,0,3,1,0,0,0,0,0,0,0,426,0,0,0,0,0
1261_18,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
1261_2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,0,0,0,45
1261_27,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,21,33,11,0,0
1261_28,0,0,0,0,0,2,0,1,0,0,0,0,0,9,0,12,39,0,0,0
1261_3,0,0,0,0,0,1,0,0,0,0,0,0,178,2,144,6,0,0,9,10
1261_38,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,6,0,0,0,1
1261_42,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,84,3,0
1261_6,0,0,0,0,0,0,0,0,0,0,0,3,28,10,18,32,48,0,1,32
1262_7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
1263_11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1263_15,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,139,290,0,141
1263_5,0,3,0,0,30,0,3,0,0,0,0,0,0,0,3,0,0,0,12,32
1263_6,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,25,8,0,12,108
1264_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,35,19
1265_3,0,0,0,0,140,302,0,0,0,0,0,0,0,0,0,0,9,0,12,85
1266_8,0,0,0,0,22,7,10,4,0,0,0,0,0,0,0,0,60,36,427,0
1267_1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,447,768,18
1267_9,0,0,0,0,5,3,0,2,0,0,0,0,3,0,0,0,561,178,329,57
1270_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
1271_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,60,0,0
1271_9,0,0,0,0,1,0,9,18,0,0,0,0,15,0,0,0,21,27,0,17
1272_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,45,123,99
1276_1,3,0,1,2,0,2,0,2,0,3,0,0,0,0,0,0,14,17,24,136
1276_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,172,119,322
1277_13,3,0,0,0,1,0,6,0,225,64,0,21,0,0,0,0,21,84,283,84
1277_2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,198,0,3,228
1277_24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,190,91,120,5
1280_17,0,0,0,0,4,0,0,0,0,0,0,0,0,251,0,0,21,26,103,6
1281_5,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,80,0
1281_6,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,9,0,0,9
1281_8,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95
1282_11,0,0,0,0,0,0,6,26,0,0,0,5,0,0,0,3,339,46,12,35
1282_17,0,0,0,0,3,2,0,11,158,3,0,0,0,6,0,0,464,51,290,0
1282_2,0,18,0,0,6,0,11,9,0,0,0,0,0,0,0,0,104,0,14,195
1282_23,0,7,6,0,3,0,0,0,176,6,0,0,0,0,0,0,244,53,366,90
1282_25,0,0,0,0,3,18,18,0,214,0,12,0,0,0,0,0,434,8,667,42
1283_7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,511
1287_10,9,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,12
1288_6,0,1,0,0,4,13,3,0,0,0,0,0,0,0,0,0,0,0,140,18
1289_10,0,0,0,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,105,77
1289_13,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,939
1289_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,32
1289_2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,193,217,38
1289_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,33,352,94
1290_1,3,4,0,0,3,27,0,4,0,0,0,0,0,15,6,0,39,127,110,29
1291_9,17,0,3,0,3,3,0,3,0,0,0,0,0,0,4,0,39,113,31,213
1292_10,0,10,0,0,0,16,0,0,253,45,0,6,0,0,0,0,251,102,430,99
1292_5,0,4,0,0,0,2,2,1,0,4,0,0,0,0,0,0,802,71,368,94
1296_5,0,0,0,0,22,0,0,8,0,0,0,0,0,0,0,0,345,0,604,204
1297_12,6,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,435,3,0,0
1297_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,45,287,3
1297_7,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,871,50,499,664
1298_1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,14,341,367,745,309
1305_7,6,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1327_22,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,24,17,24,60
1327_7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101,57,0,12
