Stand2,UTMX,UTMY,setup date,setup week,retrieval date,retrieval week,elavation,STAND.AGE,Class,YOUNG (0-10),IMMATURE (11-30),MATURE (31-70),OLD (71+),ACRES,HECTACRES,STAND.CHARACTERISTICS,burned,thinned,burned and thinned,no treatment ,primary spp,GRASSLAND.PERCENTAGE500M,MIXED.PERCENTAGE500M,OTHER.PERCENTAGE500M,DECIDUOUS.PERCENTAGE500M,EVERGREEN.PERCENTAGE500M,GRASSLAND.PERCENTAGE1000M,MIXED.PERCENTAGE1000M,OTHER.PERCENTAGE1000M,DECIDUOUS.PERCENTAGE1000M,EVERGREEN.PERCENTAGE1000M
1272_17,398601,3849956,12/10/2019,8,1/15/2020,14,210,0,Y,1,0,0,0,80.1,32.42,Immature pole timber,,,,,raccoon,20.44,19.05,5.12,0.00,55.39,8.01,16.00,3.89,1.48,70.61
1235_54,387210,3858779,10/22/2019,1,11/19/2019,5,302,14,Y,0,1,0,0,43.71,17.69,Seedling and sapling,,,,,spotted skunk,8.58,20.59,0.29,17.50,53.04,2.84,29.85,3.42,8.04,55.84
1253_1,380253,3854770,10/23/2019,2,11/20/2019,6,343,14,Y,0,1,0,0,27.92,11.30,Seedling and sapling,,,,,raccoon,0.00,32.84,7.05,9.45,50.65,1.25,31.51,5.79,8.45,53.00
1253_9,379975,3854619,10/23/2019,2,11/20/2019,6,281,14,Y,0,1,0,0,29.74,12.04,Seedling and sapling,,,,,raccoon,0.00,34.66,4.48,7.03,53.82,0.00,30.85,5.52,8.91,54.72
1257_25,399551,3853178,10/24/2019,2,11/21/2019,6,137,14,Y,0,1,0,0,82.14,33.24,Seedling and sapling,,,,,raccoon,15.28,38.51,4.47,14.02,27.72,7.67,34.49,4.95,5.66,47.22
1270_23,373433,3852852,12/9/2019,8,1/13/2020,13,244,14,Y,0,1,0,0,44.15,17.87,Seedling and sapling,,,,,rabbit,2.02,18.04,2.43,1.15,76.36,3.20,15.24,4.26,6.14,71.16
1240_15,372831,3857320,10/22/2019,1,11/19/2019,5,210,19,Y,0,1,0,0,50.63,20.49,Seedling and sapling,,,,,raccoon,31.25,10.31,1.01,0.00,57.44,19.67,9.95,4.16,0.56,65.65
1261_42,390591,3851320,10/29/2019,2,12/4/2019,8,204,22,Y,0,1,0,0,70.71,28.62,Seedling and sapling,,,,,opossum,20.81,22.26,0.00,3.90,53.03,18.17,17.33,1.18,9.79,53.53
1281_8,378587,3851019,12/11/2019,9,1/20/2020,14,213,22,Y,0,1,0,0,88.43,35.79,Seedling and sapling,,,,,raccoon,31.68,8.38,4.85,12.23,42.86,17.28,20.03,2.58,12.40,47.71
1291_9,375958,3849116,12/17/2019,9,1/22/2020,15,135,24,Y,0,1,0,0,141.69,57.34,Seedling and sapling,,,,,raccoon,38.09,15.48,0.00,2.20,44.23,11.76,10.20,1.26,2.28,74.50
1262_7,388634,3853166,10/29/2019,2,12/4/2019,8,316,25,Y,0,1,0,0,71.42,28.90,Seedling and sapling,,,,,gray fox,0.40,20.77,8.93,1.82,68.08,0.96,21.04,5.92,2.44,69.64
1276_19,378237,3851853,12/10/2019,8,1/15/2020,14,244,25,Y,0,1,0,0,42.03,17.01,Seedling and sapling,,,,,raccoon,0.00,28.05,2.80,10.27,58.87,2.55,16.20,4.19,3.30,73.76
1277_24,375143,3851421,12/10/2019,8,1/14/2020,13,109,25,Y,0,1,0,0,95.17,38.51,Seedling and sapling,,,,,raccoon,0.00,21.98,0.00,2.40,75.62,0.46,22.68,1.64,3.67,71.54
1287_10,398953,3845554,12/16/2019,9,1/21/2020,14,225,25,Y,0,1,0,0,92.45,37.41,Immature pole timber,,,,,opossum,0.37,43.29,2.37,10.09,43.88,16.21,32.56,5.94,8.75,36.55
1227_72,381885,3861396,10/17/2019,1,11/15/2019,5,207,27,Y,0,1,0,0,67.19,27.19,Seedling and sapling,,,,,raccoon,0.00,26.07,2.27,5.55,66.11,0.58,22.19,2.46,5.07,69.70
1283_7,371614,3850923,12/12/2019,9,1/16/2020,14,263,27,Y,0,1,0,0,45.85,18.55,Immature pole timber,,,,,raccoon,10.55,9.90,0.10,0.10,79.34,13.40,11.86,3.10,5.65,65.99
1232_11,374321,3859283,10/21/2019,1,11/18/2019,5,317,28,Y,0,1,0,0,72.45,29.32,Seedling and sapling,,,,,raccoon,17.33,2.38,2.41,0.00,77.88,5.93,4.53,5.06,0.60,83.87
1246_3,389761,3858330,10/22/2019,1,11/19/2019,5,206,28,Y,0,1,0,0,75.22,30.44,Immature pole timber,,,,,striped skunk,19.21,30.20,4.74,7.87,37.98,24.91,28.35,4.24,12.02,30.47
1258_4,370265,3854934,10/24/2019,2,11/21/2019,6,242,28,Y,0,1,0,0,66.62,26.96,Immature pole timber,,,,,raccoon,0.00,21.17,5.22,2.02,71.60,0.11,17.21,2.51,1.20,78.97
1260_15,394766,3852009,10/27/2019,2,12/5/2019,8,335,28,Y,0,1,0,0,61.45,24.87,Immature pole timber,,,,,raccoon,12.93,14.70,4.12,1.03,67.21,3.69,12.71,4.33,0.88,78.39
1260_19,394291,3851040,10/27/2019,2,12/5/2019,8,294,28,Y,0,1,0,0,76.74,31.06,Immature pole timber,,,,,small mammal,0.24,5.67,0.00,0.00,94.09,4.94,16.40,0.00,0.54,78.11
1260_24,391846,3851103,10/27/2019,2,12/5/2019,8,376,28,Y,0,1,0,0,61.61,24.93,Seedling and sapling,,,,,opossum,19.51,12.83,0.00,7.44,60.22,16.69,19.95,0.60,18.27,44.49
1289_10,385010,3847857,12/16/2019,9,1/21/2020,14,246,28,Y,0,1,0,0,60.42,24.45,Immature pole timber,,,,,opossum,0.00,24.27,3.98,26.61,45.14,2.72,26.55,2.48,25.55,42.70
1289_13,384005,3848394,12/16/2019,9,1/21/2020,14,278,28,Y,0,1,0,0,77.48,31.36,Immature pole timber,,,,,raccoon,0.00,19.64,2.48,1.96,75.91,4.22,14.74,2.18,7.46,71.40
1230_10,385636,3863356,10/21/2019,1,11/18/2019,5,420,29,Y,0,1,0,0,71.24,28.83,Immature sawtimber,,,,,raccoon,3.16,27.98,0.00,1.65,67.22,3.24,23.29,0.79,0.97,71.71
1248_15,402868,3854795,10/23/2019,2,11/20/2019,6,267,29,Y,0,1,0,0,74.43,30.12,Immature pole timber,,,,,opossum,42.74,21.03,0.00,10.05,26.17,22.26,22.48,0.78,14.85,39.63
1252_9,381188,3854155,10/23/2019,2,11/20/2019,6,359,29,Y,0,1,0,0,54.21,21.94,Immature pole timber,,,,,raccoon,19.42,32.85,0.00,18.25,29.48,8.30,34.85,0.89,14.33,41.63
1263_15,387855,3852103,10/31/2019,3,12/4/2019,8,221,29,Y,0,1,0,0,46.91,18.98,Immature pole timber,,,,,raccoon,0.11,22.56,3.51,6.42,67.41,4.51,22.17,4.82,7.96,60.54
1263_5,385771,3852561,10/31/2019,3,12/4/2019,8,121,29,Y,0,1,0,0,78.39,31.72,Immature pole timber,,,,,opossum,6.07,23.96,4.55,4.56,60.86,8.21,16.35,3.50,6.36,65.57
1265_3,381263,3853712,10/31/2019,3,12/4/2019,8,367,29,Y,0,1,0,0,70.42,28.50,Seedling and sapling,,,,,coyote,19.62,30.20,0.00,5.50,44.68,8.29,34.70,0.87,9.76,46.39
1266_8,377666,3852048,12/9/2019,8,1/13/2020,13,402,29,Y,0,1,0,0,70.18,28.40,Immature pole timber,,,,,na,0.00,12.02,5.20,1.42,81.36,0.00,15.07,4.14,2.62,78.16
1282_11,375881,3850004,12/11/2019,9,1/20/2020,14,264,29,Y,0,1,0,0,73.51,29.75,Seedling and sapling,,,,,raccoon,0.95,19.25,9.31,0.54,69.94,8.05,14.88,4.58,3.47,69.02
1282_17,376169,3850325,12/12/2019,9,1/16/2020,14,260,29,Y,0,1,0,0,23.08,9.34,Seedling and sapling,,,,,raccoon,7.56,35.76,6.47,8.93,41.28,3.58,18.07,4.76,3.96,69.64
1282_2,373639,3849372,12/11/2019,9,1/17/2020,14,168,29,Y,0,1,0,0,71.93,29.11,Immature pole timber,,,,,opossum,0.12,31.22,0.00,5.52,63.15,3.87,21.63,1.49,4.10,68.91
1305_7,396588,3845511,12/18/2019,10,1/23/2020,15,200,29,Y,0,1,0,0,2.18,0.88,Seedling and sapling,,,,,rabbit,25.12,24.86,5.30,0.11,44.61,9.30,21.01,2.57,2.27,64.86
1231_25,378137,3859733,10/21/2019,1,11/18/2019,5,315,30,Y,0,1,0,0,36.38,14.72,Seedling and sapling,,,,,spotted skunk,0.00,7.20,4.03,0.00,88.77,1.50,12.75,4.03,2.66,79.06
